Nome;Versão;Tipo;Dinâmica;Descrição;IMAGEM;Observação;Arte;Prompt Arte
Fratura do Contrato;v1;Épico-Volátil;Deck Control;Reaproveitar Recursos (3) - Triturar (5).;;"Slot Épico único da Detritônia (cópia única; se for ao descarte, é removido do jogo). Reforça Reaproveitar/Triturar em sua forma mais flexível — escolha entre recuperar recurso próprio ou anular efeito alheio. Efeito determinístico, sem Aposte.";item-fratura-do-contrato-v1.png;"Contrato arcano antigo se rasgando ao meio no ar, metade das runas se reorganizando espontaneamente em um novo padrão brilhante enquanto a outra metade desmorona em poeira dourada; ao fundo, a Fossa dos Sábios Caídos parcialmente visível, destroços da corte antiga; energia verde-azulada escapando da rasgadura do contrato; paleta de dourado desbotado e verde-tóxico luminescente; linha de arte que mistura a densidade de Druillet, o tecno-misticismo do Quarto Mundo de Kirby e o acabamento remendado de Grampá; composição dramática e central, sensação de ruptura decisiva que também reconstrói. Proporção 1:1"
Alicate de Contrato Roto;v1;Lendário-Volátil;Triturar;"Destrua uma Fonte de Energia do oponente; feito com as pinças do próprio contrato que condenou o reino, agora usado para desfazer o poder alheio.";;Cópia única (Lendário). Cobre Triturar/Extinguir Fonte de forma direta e simples.;item-alicate-de-contrato-roto-v1.png;"Alicate industrial pesado e improvisado, feito de metal enferrujado soldado a fragmentos dourados de um contrato antigo, cortando ao meio um pequeno cristal de energia que estilhaça em fragmentos luminosos; fundo desfocado de uma oficina cheia de sucata; paleta de cinza-metálico e verde-elétrico da energia estilhaçada; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição dinâmica, sensação de destruição precisa e satisfatória. Proporção 1:1"
Cofre Arrombado da Dívida;v1;Lendário-Volátil;Triturar/Vantagem;"Extingua uma Fonte de Energia do oponente e compre 1 carta; o cofre que guardava a dívida da monarquia caída ainda rende algo a quem sabe arrombá-lo.";;"Cópia única (Lendário). Cobre Triturar/Extinguir Fonte combinado a vantagem de cartas, reforçando o tema da dívida herdada.";item-cofre-arrombado-da-divida-v1.png;"Cofre antigo e ornamentado, fechadura arrombada à força, metade aberto revelando não ouro mas pergaminhos de contrato e um pequeno cristal de energia pulsante sendo retirado por uma mão fora de quadro; ao fundo, pilhas de destroços do antigo palácio; paleta de dourado opaco e verde-arcano; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição de descoberta e pilhagem justificada, sensação de dívida sendo parcialmente cobrada. Proporção 1:1"
Bobina Reaproveitada;v1;Lendário-Permanente;Reaproveitar/Sustentação;"Sempre que você reciclar (trazer de volta) um Item ou Fonte do descarte, cure 1 ponto de Vida ao personagem equipado; nada que passa pela Bobina Reaproveitada volta do mesmo jeito que saiu — sempre um pouco mais útil.";;"Cópia única (Lendário). Cobre Reaproveitar com sustentação leve, reforçando qualquer outra carta de reciclagem do tipo, coerente com o efeito combinatório.";item-bobina-reaproveitada-v1.png;"Bobina de cobre grande e emaranhada, visivelmente remendada com fios de diferentes origens e cores, pulsando levemente com uma luz azul-esverdeada suave cada vez que uma peça próxima é reaproveitada; presa a uma bancada de trabalho cercada de sucata organizada; paleta de cobre-avermelhado e verde-azulado elétrico; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição funcional e viva, sensação de energia circulando em ciclo constante. Proporção 1:1"
Ferro de Solda Improvisado;v1;Temático-Permanente;Reaproveitar;"Uma vez por turno, devolva um Item do próprio descarte à mão pagando 1 energia a mais que o custo original; um ferro de solda tosco, mas que já reconstruiu meio reino.";;"Cobre Reaproveitar de forma recorrente mas com custo extra, equilibrando o poder frente à versão sem custo do Épico.";item-ferro-de-solda-improvisado-v1.png;"Ferro de solda rústico e improvisado, cabo enrolado em fita isolante remendada, ponta incandescente unindo dois fragmentos de metal sobre uma bancada cheia de peças recicladas; fagulhas pequenas saltando da junção; paleta de laranja-brasa e cinza-metálico; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição próxima e prática, sensação de reconstrução constante e paciente. Proporção 1:1"
Baú de Restos do Palácio;v1;Temático-Permanente;Vantagem de Cartas;"Quando um Item seu vai para o descarte, compre 1 carta; o próprio palácio caído ainda gera valor a cada nova ruína que produz.";;"Cobre vantagem de cartas ligada à perda de recursos, tema recorrente de TecSci (transformar perda em ganho).";item-bau-de-restos-do-palacio-v1.png;"Baú de madeira nobre rachada e parcialmente carbonizada, remendado com placas metálicas variadas, entreaberto revelando fragmentos dourados e pergaminhos queimados em seu interior; pousado sobre uma pilha maior de destroços do palácio antigo; luz difusa e fria; paleta de marrom-carbonizado e dourado opaco; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição de descoberta modesta, sensação de valor emergindo da ruína repetidamente. Proporção 1:1"
Serra Circular Remendada;v1;Temático-Volátil;Dano condicionado a descarte;"Causa 2 pontos de dano; se você tiver 5 ou mais cartas no descarte, causa 3 pontos; uma serra remendada tantas vezes que já nem lembra sua forma original — só que ainda corta.";;"Cobre o buff condicionado à quantidade de cartas em descarte (assinatura de TecSci), em escala de dano pontual.";item-serra-circular-remendada-v1.png;"Serra circular improvisada, disco de metal áspero e remendado com parafusos visivelmente de origens diferentes, girando em alta velocidade e soltando fagulhas alaranjadas intensas; segurada por um braço mecânico simples fixado a uma bancada; fundo desfocado de oficina cheia de sucata; paleta de cinza-metálico e laranja-fagulha; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição dinâmica e industrial, sensação de ferramenta perigosa mantida viva à força. Proporção 1:1"
Broca de Diamante Falso;v1;Temático-Volátil;Triturar;"Destrua um Item Permanente do oponente; a ponta é feita de vidro reforçado, não de diamante verdadeiro — mas na Detritônia, o que importa é que funciona.";;"Cobre Triturar em sua variante de destruição de Item (em vez de Fonte), ampliando a cobertura da palavra-chave dentro da cota do tipo.";item-broca-de-diamante-falso-v1.png;"Broca industrial pesada, ponta reluzente de vidro reforçado imitando diamante, perfurando com precisão um pequeno mecanismo dourado que racha e se apaga; suporte metálico improvisado segurando a broca em posição; fundo desfocado de oficina; paleta de cinza-metálico e um brilho branco-azulado na ponta da broca; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição precisa e mecânica, sensação de destruição calculada e eficiente. Proporção 1:1"
Chave de Fenda Torta;v1;Temático-Volátil;Custo variável por descarte;"Descarte uma carta da mão para reduzir o custo da próxima ação em 1 energia; torta de tanto uso, mas ainda encaixa perfeitamente onde precisa.";;"Cobre custo variável pago com descarte, uma das 4 palavras-chave de assinatura de TecSci ainda sem representação forte na cota antes desta carta.";item-chave-de-fenda-torta-v1.png;"Chave de fenda pequena e visivelmente torta, cabo remendado com fita isolante de cores variadas, encaixada perfeitamente em um parafuso apesar da deformação evidente; mão calejada segurando a ferramenta com familiaridade; fundo desfocado de bancada cheia de peças; paleta de cinza-metálico e cores variadas da fita isolante; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição íntima e prática, sensação de ferramenta imperfeita mas confiável. Proporção 1:1"
Rede de Cabos Emendados;v1;Temático-Permanente;Custo variável por descarte;"Uma vez por turno, descarte uma carta da mão para olhar as duas cartas do topo do seu deck e reorganizá-las; uma rede de cabos emendados tantas vezes que já formou seu próprio padrão de raciocínio.";;"Reforça, junto com a Chave de Fenda Torta, a cobertura de custo variável pago com descarte, fechando as 4 palavras-chave de assinatura de TecSci na cota de Itens da Detritônia.";item-rede-de-cabos-emendados-v1.png;"Emaranhado denso e organizado de cabos coloridos e remendados formando um padrão quase neural, conectando diversos pequenos dispositivos improvisados numa parede de oficina; pequenas luzes indicadoras piscando em sequência ao longo dos cabos; paleta de cores variadas dos cabos contra cinza-metálico de fundo; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição complexa e viva, sensação de sistema improvisado mas funcional. Proporção 1:1"
Fratura do Sol;v1;Épico-Volátil;Buff em massa;"Fratura XPTO (Físico) — todo o seu time ganha +3 de Atk e +3 de Vida até o fim da partida; mesmo o mundo mais estável sentiu o abalo — o sol rachou por um instante diante de todas as nações, e a força de Solar Comum respondeu ao susto.";;"Slot Épico único de Solar Comum (cópia única; se for ao descarte, é removido do jogo). Reforça a agressão direta do tipo em sua forma mais extrema — buff grande, imediato e sem condicionais, em escala de time e de partida inteira. Efeito determinístico, sem Aposte.";item-fratura-do-sol-v1.png;"O sol de Solar Comum rachando por um instante no céu, uma linha de luz branca ofuscante cortando o disco solar ao meio antes de se refazer; a luz da rachadura ilumina uma praça pública cheia de atletas e cidadãos comuns erguendo os braços em resposta instintiva de força; arquitetura funcional e nórdica ao fundo, bandeirinhas de nações distintas tremulando; paleta realista de dourado-ofuscante intenso e branco-solar contra o azul-céu; linha de arte fotorrealista e naturalista, composição dramática mas luminosa, sensação de um mundo inteiro respondendo unido a um instante de ruptura. Proporção 1:1"
Estandarte da Têmpera;v1;Lendário-Permanente;Buff condicional simples;"Enquanto o personagem equipado estiver com Vida cheia, ganha +2 de Atk; erguido no Vale da Têmpera, só tremula com força total para quem ainda não foi tocado pelo combate.";;"Cópia única (Lendário). Cobre alteração direta condicional simples, assinatura de Físico.";item-estandarte-da-tempera-v1.png;"Estandarte de tecido resistente hasteado em uma lança de madeira clara fincada no chão rochoso do Vale da Têmpera, tremulando forte ao vento constante do vale; forja a céu aberto ativa ao fundo, vapor subindo da água glacial próxima; paleta realista de tons vivos do estandarte contra cinza-pedra e verde-musgo; linha de arte fotorrealista e naturalista, composição ereta e vigorosa, sensação de força plena e intacta. Proporção 1:1"
Grito de Guerra do Povo;v1;Lendário-Volátil;Buff em massa;"Todo o time ganha +1 de Atk até o fim do turno; um grito que ecoa de toda Solar Comum, sem distinção entre nações.";;"Cópia única (Lendário). Cobre alteração direta de alto valor em escala de time, assinatura de Físico.";item-grito-de-guerra-do-povo-v1.png;"Multidão indistinta de cidadãos e atletas de diferentes nações gritando juntos em uma praça pública, punhos erguidos em uníssono, bandeirinhas de diferentes cores tremulando ao fundo em total igualdade; luz de tarde nórdica clara e vívida; paleta realista de cores vivas das bandeiras contra cinza-concreto claro; linha de arte fotorrealista e naturalista, composição coletiva e vibrante, sensação de força unificada entre povos distintos. Proporção 1:1"
Machado que Não Se Curva;v1;Lendário-Volátil;Transpassar;"Causa dano igual à Defesa do alvo, ignorando-a completamente; forjado para nunca ceder, não importa o que encontre pela frente.";;Cópia única (Lendário). Cobre Transpassar em sua variante escalável (dano proporcional à própria Defesa do alvo).;item-machado-que-nao-se-curva-v1.png;"Machado de guerra robusto e reto, lâmina larga sem uma única mossa apesar do desgaste evidente no cabo de madeira envolto em couro, cravado profundamente em um tronco de árvore nórdica cortado ao meio; luz fria e clara do norte; paleta realista de cinza-aço, madeira escura e verde-floresta ao fundo; linha de arte fotorrealista e naturalista, composição direta e imponente, sensação de força bruta que não encontra obstáculo. Proporção 1:1"
Coroa de Louros;v1;Temático-Permanente;Atk crescente;"O personagem equipado ganha +1 de Atk para cada combate vencido nesta partida, sem limite; cada vitória em Solar Comum acrescenta mais uma folha à coroa.";;"Cobre Atk crescente por combate consecutivo, assinatura de Físico, em versão Permanente (recorrente ao longo da partida).";item-coroa-de-louros-v1.png;"Coroa simples de louros verdes entrelaçados, pousada sobre uma superfície de madeira clara em um vestiário de atleta, algumas folhas frescas e outras já secas misturadas, sinal de vitórias acumuladas ao longo do tempo; luz suave de fim de tarde entrando por uma janela; paleta realista de verde-louro e dourado-tarde suave; linha de arte fotorrealista e naturalista, composição simples e honrada, sensação de conquista acumulada sem excesso. Proporção 1:1"
Golpe do Sol a Pino;v1;Temático-Volátil;Dano direto;"Causa 5 pontos de dano direto ao alvo, sem outros efeitos; um golpe carregado do calor mais intenso que Solar Comum já produziu.";;"Cobre alteração direta/agressão crua em sua forma mais pura, assinatura de Físico.";item-golpe-do-sol-a-pino-v1.png;"Punho envolto em uma luz solar intensa e ofuscante no momento do impacto, ondas de calor visíveis se propagando a partir do golpe; fundo desfocado de uma arena de treino a céu aberto sob sol a pino; paleta realista de dourado-solar extremo e branco-calor; linha de arte fotorrealista e naturalista, composição de impacto direto e imediato, sensação de força crua sem sutileza. Proporção 1:1"
Punho que Atravessa;v1;Temático-Volátil;Transpassar;"A próxima ação do personagem equipado ignora completamente a Defesa do alvo; um punho treinado para não reconhecer obstáculos.";;"Cobre Transpassar em sua forma mais direta (Ignorar Defesa completo), assinatura de Físico.";item-punho-que-atravessa-v1.png;"Punho cerrado e musculoso em pleno movimento de golpe, atravessando visualmente uma superfície sólida de pedra sem qualquer resistência aparente, rachaduras se espalhando ao redor do ponto de impacto; luz de tarde nórdica clara; paleta realista de tons de pele e cinza-pedra rachada; linha de arte fotorrealista e naturalista, composição de impacto físico bruto, sensação de força que ignora qualquer barreira. Proporção 1:1"
Bandeira da Nação Vencedora;v1;Temático-Permanente;Resiliência;"O personagem equipado não pode ter Atk reduzido abaixo do valor base; nenhuma nação vencedora aceita ser diminuída em pleno Torneio.";;"Cobre baixa dependência de suporte em sua forma de resiliência própria contra debuff, assinatura de Físico.";item-bandeira-da-nacao-vencedora-v1.png;"Bandeira grande e vibrante hasteada no topo de uma arena, tremulando com firmeza mesmo sob vento forte, cores nítidas e sem desbotar apesar do uso constante em torneios; luz de tarde clara e nórdica; outras bandeirinhas menores ao fundo em posição secundária; paleta realista de cores vivas e nítidas contra céu azul-claro; linha de arte fotorrealista e naturalista, composição ereta e triunfante, sensação de identidade inabalável. Proporção 1:1"
Lança da Aurora Comum;v1;Temático-Volátil;Transpassar;"Causa 3 pontos de dano que ignoram metade da Defesa do alvo; forjada ao amanhecer, atravessa a guarda do oponente como a primeira luz atravessa a névoa.";;"Cobre Transpassar em escala moderada (metade da Defesa), complementando o Punho que Atravessa (Ignorar Defesa completo) e o Machado que Não Se Curva (dano igual à Defesa) dentro da mesma palavra-chave de assinatura.";item-lanca-da-aurora-comum-v1.png;"Lança longa e reta de madeira clara com ponta metálica reluzente, cravada verticalmente no chão de uma arena ao amanhecer, primeira luz do sol refletindo diretamente na ponta afiada; névoa fina e baixa se dissipando ao redor da base da lança; paleta realista de dourado-amanhecer suave e cinza-metálico reluzente; linha de arte fotorrealista e naturalista, composição serena mas afiada, sensação de precisão que rompe a névoa da manhã. Proporção 1:1"
Fratura da Coroa;v1;Épico-Volátil;Sobrevida em massa;"Fratura XPTO (Divino) — todo o seu time recebe 4 tokens de Sobrevida; o controlador perde 3 pontos de Vida de um personagem à escolha como custo; o próprio evento que trouxe o destacamento ao multiverso — sem ele, não haveria Interregno, e sua repetição sempre cobra um preço em Vida.";;"Slot Épico único do Destacamento Interregno (cópia única; se for ao descarte, é removido do jogo). Reforça Sobrevida/negação de morte em grande escala, a um custo alto de Vida — cobre duas das 4 palavras-chave de assinatura de Divino simultaneamente. Efeito determinístico, sem Aposte.";item-fratura-da-coroa-v1.png;"Uma coroa etérea suspensa se rachando ao meio no ar, fragmentos de luz dourada se espalhando e descendo lentamente como penas sobre um grupo indistinto de figuras protegidas por um halo protetor comum; ao fundo, o Jardim do Véu das Plumas em plena distorção temporária pela ruptura; luz suave mas intensa emanando da rachadura; paleta de branco-perolado, dourado intenso e um leve vermelho-sacrifício no ponto do custo; linha de arte inspirada na Estação das Brumas, composição solene e dramática, sensação de proteção concedida a um preço reconhecível. Proporção 1:1"
Selo do Juízo Suspenso;v1;Lendário-Volátil;Execução condicional;"Se o alvo estiver com Vida abaixo de 3, ele perde imediatamente todos os pontos restantes; o selo não julga cedo — só quando o veredito já está decidido.";;"Cópia única (Lendário). Cobre efeito de grande escala situacional, assinatura de Divino, condicionado a Vida baixa do alvo.";item-selo-do-juizo-suspenso-v1.png;"Selo circular luminoso e intrincado, gravado com símbolos angelicais, flutuando suspenso no ar sobre uma silhueta indistinta e enfraquecida, prestes a se fechar sobre ela como um veredito final; luz branca-dourada intensa emanando do selo; fundo de névoa densa do Interregno; paleta de branco-ofuscante e dourado-juízo; linha de arte inspirada na Estação das Brumas, composição solene e definitiva, sensação de julgamento inevitável quando o momento chega. Proporção 1:1"
Espada Envolta em Névoa;v1;Lendário-Volátil;Custo em Vida como payoff;"Causa dano igual à Vida perdida do personagem que a usa neste turno; a espada corta com mais força quanto mais próximo do sacrifício estiver quem a empunha.";;"Cópia única (Lendário). Cobre custo alto pago em Vida própria como payoff direto, assinatura de Divino.";item-espada-envolta-em-nevoa-v1.png;"Espada longa e élfica, lâmina quase transparente envolta permanentemente em uma névoa branca e densa que nunca se dissipa completamente, empunhada por uma mão ferida e sangrando levemente; a névoa ao redor da lâmina brilha mais intensamente perto do ferimento; fundo do Jardim do Véu das Plumas; paleta de branco-perolado e um leve vermelho-sacrifício na base da lâmina; linha de arte inspirada na Estação das Brumas, composição solene e trágica, sensação de poder proporcional ao sacrifício. Proporção 1:1"
Testemunho da Fratura;v1;Lendário-Volátil;Buff condicionado a morte;"Se um personagem aliado morreu neste turno, todo o time ganha +2 de Defesa até o fim da partida; o destacamento testemunha cada perda, e cada testemunho fortalece os que restam.";;"Cópia única (Lendário). Cobre efeito de grande escala condicionado a evento raro (morte), assinatura de Divino.";item-testemunho-da-fratura-v1.png;"Grupo de figuras angelicais indistintas reunidas em silêncio ao redor de um ponto vazio no chão do Jardim do Véu das Plumas, onde restam apenas algumas penas caídas marcando uma ausência recente; luz suave e solene, quase reverente; paleta de branco-perolado e dourado envelhecido; linha de arte inspirada na Estação das Brumas, composição contemplativa e coletiva, sensação de luto transformado em proteção mútua. Proporção 1:1"
Pluma do Último Suspiro;v1;Temático-Volátil;Sobrevida;"Impede que um personagem aliado com Vida chegando a 0 morra neste turno; ele fica com 1 de Vida; a última pluma solta sempre pousa a tempo.";;"Cobre Sobrevida/negação de morte em sua forma mais direta, assinatura de Divino.";item-pluma-do-ultimo-suspiro-v1.png;"Uma única pluma branca e dourada pairando no ar exatamente sobre uma silhueta caída no chão, luz suave emanando da pluma no momento exato em que toca o corpo; fundo desfocado de névoa densa; paleta de branco-perolado e dourado-suave; linha de arte inspirada na Estação das Brumas, composição delicada e decisiva, sensação de intervenção no último instante possível. Proporção 1:1"
Auréola Rachada;v1;Temático-Permanente;Imunidade com custo;"O personagem equipado ganha imunidade a Debuffs, mas perde 1 de Vida no início de cada turno; protege absolutamente, mas nunca sem cobrar algo em troca.";;"Cobre imunidade combinada a custo contínuo em Vida, assinatura de Divino.";item-aureola-rachada-v1.png;"Auréola dourada e luminosa flutuando sobre uma cabeça indistinta, atravessada por uma fina rachadura escura que pulsa fracamente a cada momento, como um relógio silencioso; luz suave ao redor da auréola, mas com um brilho mais frio na rachadura; fundo de névoa do Interregno; paleta de dourado-suave e um leve cinza-rachadura; linha de arte inspirada na Estação das Brumas, composição solene, sensação de proteção que envelhece a cada uso. Proporção 1:1"
Lágrima Congelada no Tempo;v1;Temático-Volátil;Cura situacional;"Cura totalmente a Vida de um personagem aliado, mas só pode ser usada se ele estiver com Vida igual ou menor que 2; uma lágrima guardada por eras, esperando o momento exato de cair.";;"Cobre efeito situacional de grande escala, assinatura de Divino, condicionado a Vida criticamente baixa.";item-lagrima-congelada-no-tempo-v1.png;"Pequena gota cristalizada e translúcida, suspensa perfeitamente imóvel no ar como se o tempo tivesse parado ao seu redor, um leve brilho azulado pulsando em seu interior; fundo de névoa densa e silenciosa do Jardim do Véu das Plumas; paleta de branco-azulado gelado e dourado-suave ao redor; linha de arte inspirada na Estação das Brumas, composição minimalista e suspensa, sensação de tempo contido esperando o instante certo. Proporção 1:1"
