Nome;Versão;Tipo;Energia;Descrição;Texto Final;Observação;Arte;Prompt Arte;Raridade
Vórtice da Tempestade;v1;Avançada-Cósmico;2;Devoção (Cósmico) - Ao entrar em jogo, o personagem que este card for anexado, causa dano a um alvo à escolha igual ao número de fontes de energia anexadas a ele.;No olho da tempestade, cada fagulha acumulada vira fúria desmedida.;"Única Fonte Avançada da Astraca Primordial (cota de 1 por tipo da dupla de topo) - cobre a palavra-chave de assinatura mais central de Cósmico, ataque expansível por energia anexada, herdada de rules.md. Energia 3 e efeito de dano direto são coerentes com o ""topo de curva"" e o perfil de ""finalizador, pouca sutileza"" da Astraca. Efeito determinístico (sem Aposte).";fonte-vortice-da-tempestade-v1.png;"Vórtice cósmico gigantesco e titânico no vácuo do espaço, um redemoinho de energia estelar azul-violeta cravejado de pontilhado granular de plasma crepitante, no estilo do 'Kirby Krackle', com fragmentos de rocha, destroços de sistemas estelares inteiros e faíscas de energia bruta orbitando o olho escuro e absoluto no centro; formas geométricas sólidas e exageradas - cristais angulares, anéis concêntricos de energia sólida - flutuam entre os braços do vórtice como tecnologia ancestral e viva; nebulosas distantes em tons contrastantes pontuam o fundo, rachaduras de luz pura cortam a escuridão ao redor como fissuras na própria realidade; paleta vibrante de roxo profundo, azul-elétrico, magenta cósmico e branco-plasma ofuscante; linha de arte no estilo do Quarto Mundo de Kirby - formas titânicas, contraste extremo, energia visualizada como textura granular pulsante, escala verdadeiramente cósmica e mítica; composição turbulenta e ameaçadora, sensação de poder ancestral desperto à força; nenhuma figura humana em cena. Proporção 1:1";Rara
Grão de Areia Eterna;v1;Básica-Magia;1;;Um grão que já viu mais tempo passar do que qualquer monge vivo.;;fonte-grao-de-areia-eterna-v1.png;"Um único grão de areia dourado suspenso em primeiro plano, extremamente ampliado, quase translúcido contra a luz, pousado sobre a palma aberta de uma mão idosa e enrugada; ao fundo, fora de foco, o deserto infinito de Silenteia sob um céu crepuscular; leve brilho interno no grão, como se guardasse luz própria; linha de arte no estilo de Moebius — traço fino e preciso, composição minimalista e contemplativa, sensação de eternidade contida em algo minúsculo. Proporção 1:1";Comum
Sopro do Deserto;v1;Básica-Magia;1;;O vento de Silenteia carrega memórias que ninguém mais lembra de ter vivido.;;fonte-sopro-do-deserto-v1.png;"Rajada visível de vento representada por finas linhas douradas curvas atravessando uma duna vazia, levantando uma cortina leve de areia fina em espiral; nenhuma figura em cena, apenas o movimento do ar tornado visível; céu claro de entardecer em tons pastel; linha de arte no estilo de Moebius — traço fino e preciso, composição fluida e onírica, sensação de movimento silencioso e constante. Proporção 1:1";Comum
Passo Silencioso;v1;Básica-Magia;1;;Cada pegada em Silenteia se apaga antes da próxima ser dada.;;fonte-passo-silencioso-v1.png;"Sequência de pegadas descalças na areia fina, a mais recente ainda nítida e as anteriores gradualmente se dissolvendo em pó dourado suspenso no ar; luz rasante de fim de tarde alongando cada marca; nenhuma figura visível, apenas o rastro; linha de arte no estilo de Moebius — traço fino e preciso, composição minimalista, sensação de passagem efêmera e deliberadamente discreta. Proporção 1:1";Comum
Ossos do Vento;v1;Básica-Magia;1;;Dizem que os ventos mais antigos de Silenteia já foram corpo antes de serem sopro.;;fonte-ossos-do-vento-v1.png;"Fragmentos ósseos finos e polidos pelo tempo, meio enterrados na areia de uma duna, formando um padrão quase esquelético que o vento expõe lentamente; poeira dourada sendo levantada ao redor pelas rajadas; céu de entardecer em tons roxo-acinzentados; linha de arte no estilo de Moebius — traço fino e preciso, composição austera e contemplativa, sensação de história antiga sussurrada pelo vento. Proporção 1:1";Comum
Última Miragem;v1;Básica-Magia;1;;Toda miragem em Silenteia é a última até que outra apareça no horizonte.;;fonte-ultima-miragem-v1.png;"Miragem tênue e tremeluzente no horizonte do deserto, sugerindo vagamente a silhueta de um templo ou oásis que se dissolve na distorção do calor; dunas em primeiro plano nítidas contrastando com o horizonte incerto; céu dourado ofuscante de meio-dia; linha de arte no estilo de Moebius — traço fino e preciso, composição de contraste entre nitidez e ilusão, sensação de vastidão enganosa e onírica. Proporção 1:1";Comum
Parafuso Solto;v1;Básica-TecSci;1;;Um parafuso solto ainda é uma peça — na Detritônia, nada se descarta sem antes ser considerado.;;fonte-parafuso-solto-v1.png;"Um único parafuso enferrujado e torto, ampliado em primeiro plano, pousado sobre uma placa metálica amassada cheia de arranhões; pequenas fagulhas residuais saltando ao fundo desfocado, sugerindo uma oficina próxima; paleta de cinza-metálico e laranja-ferrugem; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição minimalista e industrial, sensação de valor escondido no descartado. Proporção 1:1";Comum
Fragmento de Circuito;v1;Básica-TecSci;1;;Cada circuito partido na Detritônia ainda carrega um resquício de corrente por onde passar.;;fonte-fragmento-de-circuito-v1.png;"Fragmento de placa de circuito antiga, trilhas douradas parcialmente queimadas e uma leve luz residual verde-azulada pulsando fracamente em um ponto ainda ativo; pousado sobre uma superfície de metal amassado; fumaça fina subindo ao fundo desfocado; paleta de verde-tóxico luminescente e cinza-metálico opaco; linha de arte que combina a verticalidade de Druillet, o design tecno-mítico de Kirby e o acabamento sucateado de Grampá; composição íntima e detalhada, sensação de energia residual latente. Proporção 1:1";Comum
Resto de Coroa;v1;Básica-TecSci;1;;Nem um caco de coroa é jogado fora na Detritônia — tudo ainda serve para algo.;;fonte-resto-de-coroa-v1.png;"Pequeno fragmento dourado e retorcido de uma coroa antiga, derretido parcialmente e readaptado com solda tosca a uma peça de metal comum; brilho opaco e desbotado contrastando com a rusticidade do reparo; pousado sobre uma pilha desfocada de outros destroços ao fundo; paleta de dourado desbotado e marrom-ferrugem; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição de contraste entre opulência passada e pragmatismo presente. Proporção 1:1";Comum
Placa Amassada;v1;Básica-TecSci;1;;Toda placa amassada na Detritônia já foi parede, teto ou blindagem de algo maior.;;fonte-placa-amassada-v1.png;"Placa metálica grande e amassada em ângulos irregulares, superfície coberta de riscos e pequenas manchas de ferrugem, apoiada contra uma pilha de sucata desfocada ao fundo; luz difusa e fria refletindo levemente na superfície irregular; paleta de cinza-metálico e laranja-ferrugem opaco; linha de arte que combina a verticalidade de Druillet, o tecno-misticismo de Kirby e o acabamento sucateado de Grampá; composição simples e robusta, sensação de material reaproveitável de origem incerta. Proporção 1:1";Comum
Fio Desencapado;v1;Básica-TecSci;1;;Um fio desencapado ainda conduz — na Detritônia, isso já é motivo suficiente para guardá-lo.;;fonte-fio-desencapado-v1.png;"Fio de cobre torto e parcialmente desencapado, pequenas fagulhas azuladas saltando intermitentemente da ponta exposta, enrolado sobre uma bancada de trabalho improvisada; fundo desfocado sugerindo uma oficina cheia de sucata; paleta de cobre-avermelhado e azul-elétrico fraco; linha de arte que mistura a densidade de Druillet, o tecno-misticismo de Kirby e o acabamento remendado de Grampá; composição próxima e detalhada, sensação de energia crua ainda disponível. Proporção 1:1";Comum
Raio de Sol Comum;v1;Básica-Físico;1;;O sol nasce igual para todas as nações de Solar Comum, sem favorecer nenhuma.;;fonte-raio-de-sol-comum-v1.png;"Feixe de luz solar clara e forte atravessando uma janela simples de madeira, iluminando o piso de uma praça pública vazia de Solar Comum; poeira suspensa visível no facho de luz; arquitetura funcional e sóbria ao fundo, fora de foco; paleta realista de dourado-solar limpo e madeira clara; linha de arte fotorrealista e naturalista, luz nórdica generosa, sensação de abundância cotidiana e simples. Proporção 1:1";Comum
Suor da Têmpera;v1;Básica-Físico;1;;Cada gota de suor no Vale da Têmpera já temperou uma lâmina ou um guerreiro.;;fonte-suor-da-tempera-v1.png;"Gota de suor isolada escorrendo por um antebraço musculoso e curtido, em primeiro plano close, contra o fundo desfocado de uma forja a céu aberto no Vale da Têmpera; brasas incandescentes ao fundo, vapor fino subindo; paleta realista de laranja-brasa e tons de pele bronzeada; linha de arte fotorrealista e naturalista, luz quente e contrastante, sensação de esforço físico genuíno. Proporção 1:1";Comum
Bandeira de Chão;v1;Básica-Físico;1;;Toda bandeira caída em Solar Comum é reerguida por quem passa, não importa de qual nação.;;fonte-bandeira-de-chao-v1.png;"Pequena bandeira de tecido simples, cores vivas mas desgastadas pelo uso, caída sobre o piso de pedra clara de uma praça pública, prestes a ser recolhida por uma mão fora de quadro; luz de tarde nórdica clara; outras bandeirinhas penduradas desfocadas ao fundo; paleta realista de cores vivas contra cinza-pedra claro; linha de arte fotorrealista e naturalista, composição humilde e respeitosa, sensação de igualdade entre nações. Proporção 1:1";Comum
Pedra da Arena;v1;Básica-Físico;1;;Cada pedra da Arena do Recorde Eterno já sentiu o peso de um campeão.;;fonte-pedra-da-arena-v1.png;"Pedra de concreto claro polida por décadas de uso, levemente gasta no centro por passos repetidos, parte do piso de uma arena de treino a céu aberto; luz de fim de tarde dourada e fria; arquibancadas desfocadas ao fundo; paleta realista de cinza-concreto claro e dourado suave; linha de arte fotorrealista e naturalista, composição simples e sólida, sensação de história atlética acumulada. Proporção 1:1";Comum
Fôlego do Atleta;v1;Básica-Físico;1;;Em Solar Comum, até a respiração de um atleta comum carrega o vigor que o mundo dá a todos.;;fonte-folego-do-atleta-v1.png;"Vapor fino e visível saindo da respiração de um atleta em pleno esforço, em ambiente frio de manhã nórdica, close no rosto suado e determinado, corpo desfocado ao fundo em movimento de treino; luz azulada e fria do amanhecer; paleta realista de branco-vapor e tons de pele saudável; linha de arte fotorrealista e naturalista, sensação de esforço físico honesto e vigoroso. Proporção 1:1";Comum
Pena Solta;v1;Básica-Divino;1;;Cada pena que cai do Destacamento Interregno carrega um pouco da vigília que a soltou.;;fonte-pena-solta-v1.png;"Uma única pena branca e dourada flutuando suavemente no ar, ainda no meio de sua queda lenta, contra um fundo de névoa translúcida e nuvens densas do Interregno; luz suave e difusa sem sombra definida; paleta de branco-perolado e dourado suave envelhecido; linha de arte inspirada na Estação das Brumas, composição minimalista e etérea, sensação de leveza contemplativa. Proporção 1:1";Comum
Fio de Névoa;v1;Básica-Divino;1;;A névoa do Interregno nunca se dissipa por completo — só se afina até quase desaparecer.;;fonte-fio-de-nevoa-v1.png;"Fino filamento de névoa translúcida se movendo lentamente no ar entre terraços de pedra clara suspensos, quase invisível contra a luz difusa; nenhuma figura em cena; paleta de branco-perolado e azul-etéreo muito pálido; linha de arte inspirada na Estação das Brumas, composição minimalista e serena, sensação de suspensão eterna. Proporção 1:1";Comum
Sussurro Suspenso;v1;Básica-Divino;1;;No Destacamento Interregno, até o silêncio tem peso quando ninguém mais fala.;;fonte-sussurro-suspenso-v1.png;"Ondulação sutil e quase imperceptível no ar, sugerida por um leve desfoque de névoa em movimento, como se algo tivesse acabado de ser sussurrado entre os terraços suspensos do Jardim do Véu das Plumas; luz suave e difusa; paleta de branco-perolado e dourado-suave; linha de arte inspirada na Estação das Brumas, composição contemplativa e quase vazia, sensação de comunicação apenas insinuada. Proporção 1:1";Comum
Cinza Alada;v1;Básica-Divino;1;;Mesmo o que se desfaz no Interregno ainda carrega a forma de uma asa.;;fonte-cinza-alada-v1.png;"Pequeno monte de cinzas finas e claras dispostas sutilmente em formato que lembra uma pena ou asa, pousado sobre uma pedra lisa de um terraço suspenso; brisa leve começando a dispersar as bordas do monte; luz suave e difusa; paleta de branco-acinzentado e dourado pálido; linha de arte inspirada na Estação das Brumas, composição melancólica e delicada, sensação de memória física prestes a se dissipar. Proporção 1:1";Comum
Resquício Celeste;v1;Básica-Divino;1;;Todo resquício deixado pelo Destacamento Interregno ainda brilha, mesmo esquecido.;;fonte-resquicio-celeste-v1.png;"Pequeno fragmento de luz cristalizada, quase como um caco de vidro luminoso, pousado esquecido entre pedras de um terraço coberto de musgo leve; brilho fraco e constante emanando de dentro do fragmento; luz suave e difusa ao redor; paleta de branco-perolado e dourado-suave envelhecido; linha de arte inspirada na Estação das Brumas, composição íntima e esquecida, sensação de divindade residual e discreta. Proporção 1:1";Comum
Poeira Cósmica;v1;Básica-Cósmico;1;;Cada grão de poeira cósmica já foi, um dia, parte de uma estrela inteira.;;fonte-poeira-cosmica-v1.png;"Nuvem fina e dispersa de partículas estelares brilhantes flutuando lentamente no vácuo, pontilhado granular sutil no estilo 'Kirby Krackle'; fundo de vácuo profundo e silencioso, poucas estrelas distantes visíveis; paleta de roxo-pálido, branco-plasma fraco e preto-vácuo; linha de arte no estilo do Quarto Mundo de Kirby, composição minimalista e vasta, sensação de origem estelar dispersa. Proporção 1:1";Comum
